ingredient_name,product_name,side_effects,precautions
메틸페니데이트 (Methylphenidate Hydrochloride),콘서타오로스서방정(콘서타OROS서방정),"불면, 식욕감소, 두통, 복통, 틱 ,신경과민, 불안, 우울감, 어지러움, 입안 건조, 구역, 체중감",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
메틸페니데이트 (Methylphenidate Hydrochloride),메디키넷리타드캡슐,"불면증, 긴장, 두통, 식욕감소, 불안정성, 과민, 부정맥, 심장장애, 위장관계 장애",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
메틸페니데이트 (Methylphenidate Hydrochloride),비스펜틴조절방출캡슐,"불면증, 두통, 식욕부진, 졸음, 신경질, 복통",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
메틸페니데이트 (Methylphenidate Hydrochloride),페니드정,"과민반응(피부발진, 두드러기, 발열, 관절통 등), 식욕부진, 구역, 어지러움, 두근거림, 두통, 이상운동증, 졸음, 혈압 및 맥박의 상승 및 감소, 빈맥, 협심증, 심부정맥, 복통, 장기간 투여 중 체중 감소, 운동 및 언어 틱",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
메틸페니데이트 (Methylphenidate Hydrochloride),페로스핀정,"불면증, 과민반응(피부발진, 두드러기, 발열, 관절통 등), 식욕부진, 구역, 어지러움, 두근거림, 두통, 이상운동증, 졸음, 혈압 및 맥박의 상승 및 감소, 빈맥, 협심증, 심부정맥, 복통, 장기간 투여 중 체중 감소, 운동 및 언어 틱",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
메틸페니데이트 (Methylphenidate Hydrochloride),스트라테라캡슐,"구역, 구강 건조, 식욕감소, 불면증, 피로, 위장관계 질환, 어지러움, 졸림",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
메틸페니데이트 (Methylphenidate Hydrochloride),환인아토목세틴캡슐,"구역, 구강 건조, 식욕감소, 불면증, 피로, 위장관계 질환, 어지러움, 졸림",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
메틸페니데이트 (Methylphenidate Hydrochloride),아토목신캡슐,"구역, 구강 건조, 식욕감소, 불면증, 피로, 위장관계 질환, 어지러움, 졸림",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
메틸페니데이트 (Methylphenidate Hydrochloride),도모틴캡슐,"구역, 구강 건조, 식욕감소, 불면증, 피로, 위장관계 질환, 어지러움, 졸림",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
클로니딘 (Clonidine Hydrochloride),켑베이서방정,"졸림, 두통, 상복부 통증, 피로, 진정 및 졸림, 갑작스러운 투여 중지시 반발성 고혈압",혈압을 떨어트림
플루옥세팀염산염(Fluoxetine Hydrochloride),국제플루옥세틴캡슐,"식욕감소, 불안, 신경과민, 긴장, 수면장애, 주의력 장애, 어지러움, 기면, 구토, 소화불량, 입안건조",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
플루옥세팀염산염(Fluoxetine Hydrochloride),노르작캡슐,"식욕감소, 불안, 신경과민, 긴장, 수면장애, 주의력 장애, 어지러움, 기면, 구토, 소화불량, 입안건조",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
플루옥세팀염산염(Fluoxetine Hydrochloride),노브세틴캡슐,"식욕감소, 불안, 신경과민, 긴장, 수면장애, 주의력 장애, 어지러움, 기면, 구토, 소화불량, 입안건조",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
플루옥세팀염산염(Fluoxetine Hydrochloride),대화염산플루옥세틴캡슐,"식욕감소, 불안, 신경과민, 긴장, 수면장애, 주의력 장애, 어지러움, 기면, 구토, 소화불량, 입안건조",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
플루옥세팀염산염(Fluoxetine Hydrochloride),디프렌캡슐,"식욕감소, 불안, 신경과민, 긴장, 수면장애, 주의력 장애, 어지러움, 기면, 구토, 소화불량, 입안건조",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
플루옥세팀염산염(Fluoxetine Hydrochloride),로랑캡슐,"식욕감소, 불안, 신경과민, 긴장, 수면장애, 주의력 장애, 어지러움, 기면, 구토, 소화불량, 입안건조",이 약은 물과 함께 정제 그대로 복용해야 한다. 정제를 씹거나 자르거나 분쇄해서는 안된다. 이 약은 음식과 함께 복용하여도 무관하다.
